83,357,184,357,184,476,83,476
214,368,321,368,321,487,214,487
481,362,612,362,612,487,481,487
630,374,749,374,749,481,630,481
345,380,481,380,481,481,345,481
767,380,880,380,880,493,767,493
922,386,1047,386,1047,487,922,487
1195,386,1314,386,1314,493,1195,493
1326,386,1445,386,1445,499,1326,499
1469,386,1588,386,1588,493,1469,493
1059,392,1172,392,1172,493,1059,493
1630,392,1725,392,1725,499,1630,499
1755,392,1862,392,1862,511,1755,511
2177,392,2278,392,2278,493,2177,493
1892,398,1999,398,1999,595,1892,595
2034,398,2136,398,2136,487,2034,487
77,464,190,464,190,583,77,583
2034,470,2130,470,2130,612,2034,612
226,481,321,481,321,600,226,600
481,481,606,481,606,606,481,606
1053,481,1178,481,1178,606,1053,606
1618,487,1725,487,1725,630,1618,630
624,493,749,493,749,606,624,606
1475,493,1576,493,1576,612,1475,612
2177,493,2278,493,2278,624,2177,624
368,499,470,499,470,618,368,618
1344,499,1439,499,1439,618,1344,618
773,505,886,505,886,606,773,606
1761,505,1862,505,1862,636,1761,636
83,577,190,577,190,690,83,690
1207,583,1309,583,1309,684,1207,684
1886,595,1987,595,1987,696,1886,696
214,606,333,606,333,719,214,719
1059,606,1178,606,1178,719,1059,719
2040,606,2142,606,2142,725,2040,725
487,612,600,612,600,725,487,725
922,612,1029,612,1029,719,922,719
362,618,464,618,464,731,362,731
630,618,743,618,743,743,630,743
1344,618,1457,618,1457,743,1344,743
2177,618,2266,618,2266,743,2177,743
1487,624,1588,624,1588,743,1487,743
1612,624,1725,624,1725,737,1612,737
1749,630,1862,630,1862,743,1749,743
1201,678,1303,678,1303,803,1201,803
89,684,184,684,184,815,89,815
238,702,333,702,333,809,238,809
928,714,1023,714,1023,940,928,940
1071,714,1172,714,1172,850,1071,850
493,725,595,725,595,969,493,969
624,719,743,719,743,844,624,844
1487,725,1576,725,1576,844,1487,844
2038,727,2132,723,2141,980,2047,984
374,731,470,731,470,856,374,856
773,731,880,731,880,833,773,833
1612,737,1725,737,1725,844,1612,844
1755,737,1862,737,1862,856,1755,856
1344,743,1451,743,1451,880,1344,880
2183,749,2261,749,2261,868,2183,868
1195,803,1303,803,1303,916,1195,916
95,821,196,821,196,934,95,934
238,821,333,821,333,946,238,946
1475,833,1582,833,1582,963,1475,963
1904,833,2005,833,2005,934,1904,934
1065,838,1166,838,1166,957,1065,957
374,844,470,844,470,981,374,981
1624,844,1731,844,1731,957,1624,957
1749,838,1868,838,1868,957,1749,957
785,850,886,850,886,981,785,981
642,856,743,856,743,969,642,969
1332,868,1433,868,1433,987,1332,987
2171,868,2266,868,2266,987,2171,987
1207,922,1309,922,1309,1029,1207,1029
95,928,202,928,202,1154,95,1154
226,928,339,928,339,1065,226,1065
916,928,1035,928,1035,1047,916,1047
1898,940,2011,940,2011,1059,1898,1059
1481,952,1594,952,1594,1059,1481,1059
1618,952,1725,952,1725,1071,1618,1071
1755,952,1862,952,1862,1291,1755,1291
630,957,749,957,749,1076,630,1076
785,969,880,969,880,1059,785,1059
