82,10,175,98
502,15,596,125
642,18,738,107
219,21,302,119
772,24,865,122
361,33,470,116
915,32,1025,113
1471,33,1567,125
1753,33,1848,137
1332,38,1442,125
1632,38,1709,131
1048,41,1158,125
1199,44,1300,131
2025,44,2126,119
2171,44,2263,119
1888,53,1987,119
82,116,178,214
1888,132,1990,229
231,134,308,232
502,140,601,235
2028,140,2115,244
640,143,744,235
1620,143,1706,259
1054,149,1167,232
2171,151,2269,250
373,152,465,244
1475,152,1552,238
1338,155,1427,244
1756,160,1854,268
788,166,880,232
1208,226,1297,319
89,229,190,322
219,256,317,345
2032,262,2127,357
642,265,732,363
927,265,1013,345
1051,268,1170,339
2171,268,2254,369
361,270,456,366
502,273,598,345
1489,273,1564,363
1344,274,1440,369
1605,277,1718,369
1750,282,1851,372
1196,336,1294,429
95,339,190,440
243,366,326,434
1060,369,1167,476
927,375,1019,482
506,378,590,476
640,381,732,479
2046,384,2124,500
772,387,877,467
1487,387,1570,475
1604,389,1715,473
1762,389,1848,485
373,392,462,476
1341,395,1437,488
1190,458,1300,542
240,470,332,574
1889,479,1987,560
98,482,190,559
506,494,584,604
1472,494,1579,583
1750,494,1854,586
1048,497,1167,586
1626,497,1721,598
373,503,465,607
645,506,735,601
779,506,883,610
2040,518,2121,607
2163,520,2251,613
1332,529,1422,612
1208,583,1294,655
924,589,1028,684
219,592,337,690
95,595,199,679
1889,601,1999,684
1608,607,1718,702
1478,610,1582,693
1750,610,1862,735
642,613,741,711
1057,622,1152,696
788,625,874,693
503,630,590,702
2029,631,2130,717
1347,636,1422,729
2168,648,2260,717
373,654,453,732
1190,699,1297,792
109,702,190,780
796,705,880,803
924,705,1013,812
1888,711,2005,812
1608,714,1724,809
1472,720,1581,795
1054,723,1158,815
234,735,332,795
2028,738,2141,833
646,741,747,827
1750,744,1845,833
2176,749,2269,857
361,752,462,827
1333,755,1425,827
503,764,598,851
1190,809,1291,905
791,815,877,928
95,821,199,920
249,828,337,925
1057,836,1158,946
1481,839,1573,921
1608,842,1718,931
2032,842,2138,946
642,845,732,961
1898,845,1999,927
1762,851,1845,937
364,863,468,949
1338,863,1430,961
2165,877,2257,964
518,880,610,958
1190,929,1289,1024
89,931,199,1021
228,943,332,1047
782,943,888,1033
1611,946,1721,1047
1048,952,1167,1059
2043,955,2144,1047
364,958,470,1071
1475,958,1573,1053
1898,958,1993,1053
642,964,758,1086
506,982,610,1074
2163,990,2269,1092
107,1032,192,1137
1205,1038,1300,1149
933,1041,1028,1140
231,1059,329,1160
782,1065,883,1149
1471,1071,1584,1166
1898,1074,1984,1160
2043,1074,2130,1178
503,1086,610,1187
1054,1086,1170,1178
648,1092,752,1190
1339,1092,1442,1172
2171,1109,2260,1214
1611,1145,1706,1250
82,1148,199,1256
779,1169,888,1265
921,1178,1022,1250
1750,1178,1862,1265
1190,1181,1297,1268
225,1184,337,1280
1471,1184,1582,1273
1910,1187,1987,1273
394,1190,470,1288
1054,1190,1161,1282
1335,1202,1437,1309
2037,1202,2127,1294
654,1205,752,1294
83,1273,201,1369
930,1273,1019,1369
1190,1279,1300,1381
1617,1279,1718,1360
1774,1282,1857,1387
788,1291,874,1375
228,1298,337,1384
1484,1300,1579,1398
1895,1309,1999,1381
660,1312,735,1398
502,1315,610,1407
2034,1318,2138,1431
1338,1333,1437,1416
912,1383,1034,1482
1608,1383,1721,1479
89,1386,201,1482
776,1389,891,1494
1060,1392,1158,1497
1202,1398,1280,1491
234,1410,320,1499
361,1413,468,1520
651,1416,755,1512
512,1425,604,1502
1495,1437,1570,1517
2058,1437,2135,1535
1338,1443,1425,1532
1762,1458,1857,1621
942,1496,1019,1589
785,1502,888,1595
98,1508,193,1604
1211,1514,1300,1610
234,1517,329,1628
1057,1517,1167,1604
1895,1523,2002,1610
645,1526,752,1639
364,1529,470,1625
1472,1535,1579,1633
1339,1559,1428,1657
2037,1565,2141,1636
1629,1597,1729,1677
779,1603,891,1690
915,1609,1031,1705
89,1615,187,1708
1069,1618,1167,1720
1888,1624,1999,1720
506,1633,601,1747
1211,1633,1289,1699
237,1642,323,1755
1750,1642,1857,1729
361,1651,470,1755
1481,1654,1573,1732
642,1660,758,1755
2040,1666,2144,1767
1347,1672,1439,1756
1614,1707,1718,1803
788,1716,886,1830
89,1725,202,1827
930,1737,1019,1818
1750,1737,1839,1839
1063,1740,1161,1821
1471,1749,1558,1857
503,1755,610,1857
240,1764,329,1862
388,1767,465,1868
642,1770,752,1854
1895,1770,1990,1839
2037,1776,2141,1880
1614,1830,1729,1892
918,1832,1034,1922
1196,1832,1309,1934
788,1844,883,1931
1063,1844,1161,1934
98,1847,207,1928
1907,1859,1996,1964
1771,1868,1854,1946
249,1871,337,1976
502,1871,610,1967
370,1874,470,1973
1472,1877,1582,1970
642,1883,755,1973
2037,1892,2138,1996
1620,1939,1718,2047
915,1948,1022,2041
1060,1951,1152,2044
805,1957,891,2050
1202,1957,1306,2038
1759,1963,1862,2047
95,1966,190,2077
503,1981,610,2080
1347,1981,1425,2083
1472,1982,1567,2083
254,1984,332,2086
373,1993,470,2107
1895,1994,1999,2080
2040,2002,2147,2083
646,2005,746,2080
1617,2055,1718,2166
791,2061,886,2157
1193,2061,1309,2169
927,2064,1034,2136
1060,2073,1158,2163
1777,2076,1854,2166
512,2088,610,2189
642,2088,755,2196
1895,2095,2005,2178
89,2100,196,2184
240,2103,337,2202
1333,2106,1436,2172
1484,2107,1564,2190
2040,2118,2135,2187
367,2127,470,2220
1217,2174,1309,2279
788,2177,891,2282
1069,2183,1167,2288
1756,2189,1862,2279
512,2192,610,2291
1614,2195,1715,2285
86,2201,202,2291
660,2201,758,2297
1907,2207,1999,2273
1356,2210,1442,2302
255,2222,332,2321
370,2231,468,2342
927,2285,1034,2398
1220,2291,1309,2374
790,2293,891,2404
98,2303,199,2392
1620,2303,1721,2398
1765,2303,1862,2404
2046,2302,2141,2386
512,2305,610,2410
657,2308,752,2413
1060,2308,1170,2395
1471,2314,1576,2416
237,2332,337,2428
1338,2335,1442,2428
376,2353,453,2446
782,2412,891,2502
918,2412,1031,2496
645,2418,764,2523
2043,2418,2138,2511
524,2421,610,2523
1202,2421,1297,2508
1069,2424,1170,2499
89,2427,207,2526
